PART NUMBER,DESCRIPTION OF RAW MATERIAL,QTY,MTR,NOS,WT PER MTR,TOTAL WT,PRICE,VALUE
140620488014,"2"" THREADED REG. DRIVE SHOE 2.125"" ID 2.875"" ID",2156,54.7625095250191,700,16.8,920.01016002032,109,100281.11
r15889,"4"" THREADED ROT. DRIVE SHOE 4"" LONG 4.125"" ID",33.76,0.85750571501143,8,34,29.1551943103886,109,3177.92
,"6"" WELD ON ROT DRIVE SHOE 5.4"" LONG 6.125"" ID",113,2.87020574041148,20,70.78,203.153162306325,105,21331.08
,"6"" WELD ON REG. DRIVE SHOE 5.4"" LONG 6.125"" ID",203,5.15621031242063,36,70.78,364.956565913132,105,38320.44
,"4"" WELD ON REG. DRIVE SHOE 4"" LONG 4.125"" ID",1215,30.8610617221234,288,34,1049.2760985522,109,114371.09
,"5"" WELD ON ROT. DRIVE SHOE 4.5"" LONG 5.125"" ID",94,2.38760477520955,20,41.63,99.3959867919736,104,10337.18
,"6"" API COUPLING 4.88"" LONG ",6402.24,162.617221234442,1248,63.89,10389.6142646685,100,1038961.43
,"6"" API REVERSE BEVEL COUPLING 4.88"" LONG ",6402.24,162.617221234442,1248,63.89,10389.6142646685,100,1038961.43
,"6"" WELD ON ROT DRIVE SHOE 5.4"" LONG 6.25"" ID",1356,34.4424688849378,240,70.78,2437.8379476759,105,255972.98
,"4"" PRESS X PRESS COUPLING 11.375"" LONG",16282,413.563627127254,1400,33.86,14003.2644145288,91,1274297.06
,"6"" WELD RING 3.0"" LONG ",2275,57.7851155702311,700,42,2426.97485394971,95,230562.61
,"6"" WELD RING 2.0"" LONG CENTER OUT",483.75,12.2872745745492,215,42,516.065532131064,95,49026.23
,"6"" LP WELD ON ROTARY ECONOMY SHOE 5.4"" LONG",1130,28.7020574041148,200,42,1205.48641097282,95,114521.21
,"5"" WELD ON ROT. DRIVE SHOE 4.0"" LONG 5.25"" ID",337.6,8.5750571501143,80,41.63,356.979629159258,104,37125.88
,"4"" PRESS X DRIVE SHOE 7.2"" LONG ",745,18.9230378460757,100,34,643.383286766574,109,70128.78
,"4"" PRESS X DRIVE SHOE 7.2"" LONG ",14537,369.240538481077,1250,34,12554.1783083566,109,1368405.44
,"6"" LIGHT PATTEN API COUPLING 4.88"" LONG",333.19,8.46304292608585,70,42,355.447802895606,95,33767.54
,"6"" WELD RING 3.0"" LONG ",4225,107.315214630429,1300,42,4507.23901447803,95,428187.71
,"10"" DUAL ROT SHOE 22 BUTTON BODY",0,0,15,0,0,0,0
,"6"" DUAL ROT. SHOE 12 BUTTON BODY",98.4,2.49936499873,41,70.74,176.80508001016,105,18564.53
,"6"" DUAL ROT. SHOE  12 BUTTON BODY",292.5,7.42951485902972,150,70.74,525.563881127762,105,55184.21
,"6"" DUAL ROT SHOE 14 BUTTON BODY A BORE",5.85,0.148590297180594,3,70.78,10.5172212344425,105,1104.31
,"8"" DUAL ROT. SHOE 22 BUTTON BODY",100,2.54000508001016,50,104,264.160528321057,84.5,22321.56
,"6"" DUAL ROTARY SHOE 12BUTTON BODY",136.5,3.46710693421387,70,70.74,245.263144526289,105,25752.63
,"5"" CS PACKER BODY 3.96"" LONG A106",1380,35.0520701041402,328,36.87,1292.36982473965,95,122775.13
,"1.5"" ECLIPSE BONNET SLEEVE PHOSPEROUS ",53.28,1.35331470662941,37,2.98,4.03287782575565,325,1310.69
,PCS CALCULATION,,,,,,,
,"0.75"" ECLIPSE BONNET STD MACHINING ",0,0,2,0,0,320.5,641
,"2"" DISC PIN MK50/60 & 1 1/2-2"" MK501/601 ASSEMBLY BA76017",0,0,2,0,0,0,0
,"13 3/8"" DUAL ROT. HOE 32 BUTTON ASSY",0,0,3,0,0,3305,9915
,"6"" DUAL ROT. SHOE 12 BUTTON ASSY",0,0,45,0,0,967.5,43537.5
,6'' ALUMINUM WELL CAP TOP PLATE MCHINING,0,0,1,0,0,346.5,346.5
,"6"" ALUMINIUM WELL CAP BOTTOM RING MACHINING",0,0,1,0,0,192.5,192.5
,"6"" ALUMINIUM WELL CAP BOTTOM RING MACHINING",0,0,1,0,0,192.5,192.5
,"6"" ALUM. MANHOLE BOTTOM RING MACHINING H20 NEW",0,0,720,0,0,238,171360
,ACCT ADAPTOR TOP FEMALE 708 A86222,0,0,509,0,0,0,0
,"DISC BLANK MK50/60 1.0"" A77354",0,0,370,0,0,0,0
,"6"" HD FLUTED ROTARY RHINO DRIVE SHOE BODY",0,0,3,0,0,1120,3360
,"6"" HD FLUTED DAL ROT. SHOE BODY",0,0,97,0,0,1120,108640
,"6"" SS FLOWING WELL SEAL TOP PLATE",0,0,35,0,0,900,31500
,"6"" SS FLOWING WELL SEAL BOTTOM PLATE",0,0,35,0,0,900,31500
,"6"" SS FLOWING WELL SEAL TOP PLATE",0,0,9,0,0,900,8100
,"6"" SS FLOWING WELL SEAL BOTTOM PLATE",0,0,9,0,0,900,8100
,"13 3/8"" DUAL ROT SHOE 32 BUTTON ASSY",0,0,29,0,0,3305,95845
,"1.5"" ECLIPSE BONNET STD MACHINING",0,0,2,0,0,320.5,641
,"1.5"" - 2"" HANDWHEEL MACHINING",0,0,4,0,0,445,1780
,"6"" WTCC ALUM WELL CAP TOP PLATE MACHINING",0,0,2,0,0,0,0
,"6"" WTC ALUM WELL CAP BOTTOM RING MACHINING",0,0,2,0,0,0,0
,"6"" CS FLOWING WELL SEAL TOP PLATE",0,0,47,0,0,75,3525
,"6"" CS FLOWING WELL SEAL BOTTOM PLATE",0,0,44,0,0,75,3300
,18' DUAL ROT. SHOE 24 BUTTON BODY,0,0,7,0,0,1850,12950
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,7010176.17
